,MI 540 dissipation factor measurement,,,,
time (UTC),tan delta,test object RMS voltage (V),test object current (I),input frequency (Hz),test object capacitance (F)
04-DEC-2019 15:28:11.3,0.00657112,497.832,2.8561e-06,50.0001,1.82608e-11
04-DEC-2019 15:28:11.6,0.00649529,499.513,2.85826e-06,50.0001,1.82683e-11
04-DEC-2019 15:28:11.9,0.00647098,497.495,2.85635e-06,50,1.82606e-11
04-DEC-2019 15:28:12.2,0.00650531,499.598,2.85804e-06,50.0002,1.82672e-11
04-DEC-2019 15:28:12.5,0.00656643,497.897,2.85777e-06,50,1.82646e-11
04-DEC-2019 15:28:12.8,0.00651226,498.063,2.85773e-06,49.9999,1.82652e-11
04-DEC-2019 15:28:13.1,0.0065139,497.889,2.85731e-06,50.0001,1.8262e-11
04-DEC-2019 15:28:13.4,0.00649491,497.948,2.85711e-06,50.0001,1.82593e-11
04-DEC-2019 15:28:13.7,0.00647402,498.7,2.85788e-06,50,1.82654e-11
04-DEC-2019 15:28:14.0,0.00648828,497.793,2.85857e-06,49.9999,1.82708e-11
04-DEC-2019 15:28:14.3,0.00655497,498.564,2.85836e-06,50.0001,1.82691e-11
04-DEC-2019 15:28:14.6,0.00663425,497.547,2.85815e-06,50,1.82678e-11
04-DEC-2019 15:28:17.3,0.00623503,498.275,3.4261e-06,60,1.82341e-11
04-DEC-2019 15:28:17.6,0.00620594,498.207,3.42677e-06,60.0001,1.82382e-11
04-DEC-2019 15:28:17.9,0.00628727,498.41,3.42575e-06,60,1.82321e-11
04-DEC-2019 15:28:18.2,0.00631316,498.857,3.4262e-06,59.9999,1.82335e-11
04-DEC-2019 15:28:18.5,0.0063069,498.106,3.42572e-06,60,1.82331e-11
04-DEC-2019 15:28:18.8,0.00631335,498.592,3.4198e-06,60.0001,1.82308e-11
04-DEC-2019 15:28:19.1,0.00641582,498.895,3.41817e-06,60.0002,1.82355e-11
04-DEC-2019 15:28:19.4,0.00636421,498.735,3.42489e-06,59.9999,1.82269e-11
04-DEC-2019 15:28:29.9,0.00610568,496.858,8.53172e-06,150,1.82177e-11
04-DEC-2019 15:28:30.2,0.00611937,496.868,8.532e-06,150,1.82185e-11
04-DEC-2019 15:28:30.5,0.00612293,496.964,8.53188e-06,150,1.82181e-11
04-DEC-2019 15:28:30.8,0.0061263,496.867,8.53176e-06,150,1.82181e-11
04-DEC-2019 15:28:31.1,0.0061379,497.022,8.53236e-06,150,1.82194e-11
04-DEC-2019 15:28:31.4,0.00614855,496.875,8.53274e-06,150,1.82201e-11
04-DEC-2019 15:28:31.7,0.00612798,496.839,8.53258e-06,150,1.82198e-11
04-DEC-2019 15:28:32.0,0.00611344,496.896,8.53239e-06,150,1.82191e-11
04-DEC-2019 15:28:32.3,0.00611274,496.897,8.53156e-06,150,1.82176e-11
04-DEC-2019 15:28:32.6,0.00610353,497.088,8.53236e-06,150,1.82193e-11
04-DEC-2019 15:28:32.9,0.00610158,497.046,8.53285e-06,150,1.82205e-11
04-DEC-2019 15:28:33.2,0.00611219,496.896,8.53224e-06,150,1.82193e-11
04-DEC-2019 15:28:33.5,0.00614232,496.956,8.53192e-06,150,1.82188e-11
04-DEC-2019 15:28:39.2,0.00608613,497.227,1.42028e-05,250,1.8186e-11
04-DEC-2019 15:28:39.5,0.00608416,497.198,1.42034e-05,250,1.81867e-11
04-DEC-2019 15:28:39.8,0.00608694,497.152,1.42037e-05,250,1.81873e-11
04-DEC-2019 15:28:40.1,0.00608456,497.253,1.42035e-05,250,1.8187e-11
04-DEC-2019 15:28:40.4,0.00609592,497.298,1.42033e-05,250,1.81867e-11
04-DEC-2019 15:28:40.7,0.00608973,497.255,1.42029e-05,250,1.81861e-11
04-DEC-2019 15:28:41.0,0.00608345,497.192,1.42029e-05,250,1.81863e-11
04-DEC-2019 15:28:41.3,0.00609253,497.295,1.4203e-05,250,1.81864e-11
04-DEC-2019 15:28:41.6,0.0060907,497.074,1.42027e-05,250,1.8186e-11
04-DEC-2019 15:28:41.9,0.00608115,497.12,1.42032e-05,250,1.81868e-11
04-DEC-2019 15:28:42.2,0.0060874,497.19,1.42024e-05,250,1.81857e-11
04-DEC-2019 15:28:46.4,0.00607867,497.551,1.98617e-05,350,1.81541e-11
04-DEC-2019 15:28:46.7,0.00607967,497.462,1.98618e-05,350,1.81545e-11
04-DEC-2019 15:28:47.0,0.00608019,497.383,1.98615e-05,350,1.81544e-11
04-DEC-2019 15:28:47.3,0.00607475,497.444,1.98618e-05,350,1.81547e-11
04-DEC-2019 15:28:47.6,0.00607084,497.404,1.9861e-05,350,1.8154e-11
04-DEC-2019 15:28:47.9,0.00607067,497.596,1.98609e-05,350,1.81539e-11
04-DEC-2019 15:28:48.2,0.00606871,497.463,1.98611e-05,350,1.8154e-11
04-DEC-2019 15:28:48.5,0.00606256,497.537,1.98614e-05,350,1.81543e-11
04-DEC-2019 15:28:48.8,0.00606846,497.491,1.98615e-05,350,1.81546e-11
04-DEC-2019 15:28:49.1,0.00607219,497.562,1.98611e-05,350,1.81542e-11
04-DEC-2019 15:28:49.4,0.00607035,497.529,1.98611e-05,350,1.81541e-11
04-DEC-2019 15:28:54.2,0.00604264,498.125,2.55554e-05,450,1.8142e-11
04-DEC-2019 15:28:54.5,0.00603939,498.24,2.55556e-05,450,1.81421e-11
04-DEC-2019 15:28:54.8,0.00603774,498.288,2.55557e-05,450,1.81423e-11
04-DEC-2019 15:28:55.1,0.00603926,498.246,2.55556e-05,450,1.8142e-11
04-DEC-2019 15:28:55.4,0.0060412,498.214,2.55554e-05,450,1.81419e-11
04-DEC-2019 15:28:55.7,0.00604097,498.173,2.55555e-05,450,1.81421e-11
04-DEC-2019 15:28:56.0,0.0060424,498.231,2.55559e-05,450,1.81424e-11
04-DEC-2019 15:28:56.3,0.0060407,498.199,2.55555e-05,450,1.8142e-11
04-DEC-2019 15:28:56.6,0.0060417,498.06,2.55552e-05,450,1.81418e-11
04-DEC-2019 15:28:56.9,0.00603811,498.335,2.55557e-05,450,1.81424e-11
04-DEC-2019 15:28:57.2,0.00603636,498.149,2.55553e-05,450,1.8142e-11
04-DEC-2019 15:28:57.5,0.00603654,498.176,2.55551e-05,450,1.81418e-11
04-DEC-2019 15:29:1.4,0.00601454,499.438,3.12813e-05,550,1.81238e-11
04-DEC-2019 15:29:1.7,0.00601471,499.435,3.12811e-05,550,1.81236e-11
04-DEC-2019 15:29:2.0,0.00601661,499.418,3.12812e-05,550,1.81235e-11
04-DEC-2019 15:29:2.3,0.00601656,499.533,3.12814e-05,550,1.81236e-11
04-DEC-2019 15:29:2.6,0.00601935,499.482,3.12813e-05,550,1.81237e-11
04-DEC-2019 15:29:2.9,0.00602116,499.507,3.12815e-05,550,1.81238e-11
04-DEC-2019 15:29:3.2,0.00602053,499.461,3.1281e-05,550,1.81236e-11
04-DEC-2019 15:29:3.5,0.00602305,499.436,3.12814e-05,550,1.81239e-11
