Zeit;Frequenz [Hz];tan delta;Kapazität Messsensor [F];Û [V];Û/Wurzel(2) [V];Strom [A];Hinweis
2020-03-02 16:56:30;50.1194;1.1276E-02;2.0085E-11;1.4292E+03;1.0106E+03;6.3710E-06;
2020-03-02 16:56:33;50.0047;1.1211E-02;2.0082E-11;1.4307E+03;1.0117E+03;6.3700E-06;
2020-03-02 16:56:34;50.0047;1.1239E-02;2.0082E-11;1.4283E+03;1.0100E+03;6.3697E-06;
2020-03-02 16:56:35;50.0047;1.1233E-02;2.0082E-11;1.4273E+03;1.0092E+03;6.3697E-06;
2020-03-02 16:56:36;50.0047;1.1241E-02;2.0082E-11;1.4293E+03;1.0107E+03;6.3692E-06;
2020-03-02 16:56:37;50.0047;1.1242E-02;2.0082E-11;1.4233E+03;1.0064E+03;6.3696E-06;
2020-03-02 16:56:38;50.0047;1.1248E-02;2.0082E-11;1.4303E+03;1.0114E+03;6.3697E-06;
2020-03-02 16:56:40;50.0047;1.1245E-02;2.0082E-11;1.4244E+03;1.0072E+03;6.3693E-06;
2020-03-02 16:56:41;50.0047;1.1249E-02;2.0081E-11;1.4282E+03;1.0099E+03;6.3693E-06;
2020-03-02 16:57:10;59.9559;1.0870E-02;2.0056E-11;1.4352E+03;1.0148E+03;7.6459E-06;
2020-03-02 16:57:11;59.9559;1.0866E-02;2.0057E-11;1.4355E+03;1.0150E+03;7.6459E-06;
2020-03-02 16:57:12;59.9559;1.0874E-02;2.0057E-11;1.4282E+03;1.0099E+03;7.6448E-06;
2020-03-02 16:57:13;59.9559;1.0879E-02;2.0057E-11;1.4334E+03;1.0136E+03;7.6430E-06;
2020-03-02 16:57:14;59.9559;1.0882E-02;2.0057E-11;1.4369E+03;1.0160E+03;7.6433E-06;
2020-03-02 16:57:15;59.9559;1.0881E-02;2.0057E-11;1.4330E+03;1.0133E+03;7.6433E-06;
2020-03-02 16:57:16;59.9559;1.0886E-02;2.0057E-11;1.4354E+03;1.0150E+03;7.6433E-06;
2020-03-02 16:57:17;59.9559;1.0887E-02;2.0057E-11;1.4324E+03;1.0129E+03;7.6428E-06;
2020-03-02 16:57:18;59.9559;1.0887E-02;2.0056E-11;1.4272E+03;1.0092E+03;7.6427E-06;
2020-03-02 16:57:19;59.9559;1.0886E-02;2.0056E-11;1.4337E+03;1.0137E+03;7.6428E-06;
2020-03-02 16:57:20;59.9559;1.0886E-02;2.0056E-11;1.4353E+03;1.0149E+03;7.6427E-06;
2020-03-02 16:57:22;59.9559;1.0886E-02;2.0056E-11;1.4248E+03;1.0075E+03;7.6427E-06;
2020-03-02 16:57:23;59.9559;1.0885E-02;2.0056E-11;1.4281E+03;1.0098E+03;7.6423E-06;
2020-03-02 16:57:24;59.9559;1.0884E-02;2.0056E-11;1.4352E+03;1.0148E+03;7.6428E-06;
2020-03-02 16:57:25;59.9559;1.0885E-02;2.0056E-11;1.4172E+03;1.0021E+03;7.6427E-06;
2020-03-02 16:57:26;59.9559;1.0886E-02;2.0056E-11;1.4332E+03;1.0134E+03;7.6426E-06;
2020-03-02 16:57:56;149.8899;9.4871E-03;1.9942E-11;1.4463E+03;1.0227E+03;1.9168E-05;
2020-03-02 16:57:57;149.8899;9.4564E-03;1.9942E-11;1.4448E+03;1.0216E+03;1.9171E-05;
2020-03-02 16:57:58;149.8899;9.4559E-03;1.9942E-11;1.4414E+03;1.0193E+03;1.9173E-05;
2020-03-02 16:58:00;149.8899;9.4561E-03;1.9942E-11;1.4432E+03;1.0205E+03;1.9171E-05;
2020-03-02 16:58:01;149.8899;9.4541E-03;1.9942E-11;1.4413E+03;1.0191E+03;1.9171E-05;
2020-03-02 16:58:02;149.8899;9.4547E-03;1.9942E-11;1.4417E+03;1.0194E+03;1.9170E-05;
2020-03-02 16:58:03;149.8899;9.4554E-03;1.9942E-11;1.4373E+03;1.0163E+03;1.9170E-05;
2020-03-02 16:58:04;149.8899;9.4573E-03;1.9942E-11;1.4467E+03;1.0230E+03;1.9170E-05;
2020-03-02 16:58:05;149.8899;9.4567E-03;1.9942E-11;1.4474E+03;1.0234E+03;1.9171E-05;
2020-03-02 16:58:06;149.8899;9.4564E-03;1.9942E-11;1.4475E+03;1.0236E+03;1.9171E-05;
2020-03-02 16:58:07;149.8899;9.4575E-03;1.9942E-11;1.4436E+03;1.0208E+03;1.9171E-05;
2020-03-02 16:58:08;149.8899;9.4586E-03;1.9942E-11;1.4449E+03;1.0217E+03;1.9170E-05;
2020-03-02 16:58:09;149.8899;9.4589E-03;1.9942E-11;1.4447E+03;1.0215E+03;1.9170E-05;
2020-03-02 16:58:10;149.8899;9.4592E-03;1.9942E-11;1.4492E+03;1.0247E+03;1.9170E-05;
2020-03-02 16:58:11;149.8899;9.4579E-03;1.9942E-11;1.4431E+03;1.0204E+03;1.9171E-05;
2020-03-02 16:58:41;250.1287;8.8618E-03;1.9884E-11;1.4789E+03;1.0458E+03;3.2507E-05;
2020-03-02 16:58:42;250.1287;8.8668E-03;1.9884E-11;1.4791E+03;1.0459E+03;3.2500E-05;
2020-03-02 16:58:43;250.1287;8.8703E-03;1.9884E-11;1.4779E+03;1.0450E+03;3.2498E-05;
2020-03-02 16:58:44;250.1287;8.8707E-03;1.9884E-11;1.4798E+03;1.0464E+03;3.2496E-05;
2020-03-02 16:58:45;250.1287;8.8733E-03;1.9884E-11;1.4592E+03;1.0318E+03;3.2495E-05;
2020-03-02 16:58:46;250.1287;8.8719E-03;1.9884E-11;1.4553E+03;1.0291E+03;3.2495E-05;
2020-03-02 16:58:47;250.1287;8.8703E-03;1.9884E-11;1.4787E+03;1.0456E+03;3.2493E-05;
2020-03-02 16:58:48;250.1287;8.8711E-03;1.9884E-11;1.4779E+03;1.0451E+03;3.2492E-05;
2020-03-02 16:58:49;250.1287;8.8717E-03;1.9884E-11;1.4786E+03;1.0456E+03;3.2491E-05;
2020-03-02 16:58:50;250.1287;8.8724E-03;1.9884E-11;1.4678E+03;1.0379E+03;3.2490E-05;
2020-03-02 16:58:59;250.0692;8.8548E-03;1.9884E-11;1.4771E+03;1.0445E+03;3.2497E-05;
2020-03-02 16:59:00;250.0692;8.8607E-03;1.9884E-11;1.4712E+03;1.0403E+03;3.2484E-05;
2020-03-02 16:59:01;250.0692;8.8615E-03;1.9884E-11;1.4691E+03;1.0388E+03;3.2483E-05;
2020-03-02 16:59:02;250.0692;8.8637E-03;1.9884E-11;1.4745E+03;1.0426E+03;3.2483E-05;
2020-03-02 16:59:04;250.0692;8.8648E-03;1.9884E-11;1.4774E+03;1.0447E+03;3.2485E-05;
2020-03-02 16:59:05;250.0692;8.8661E-03;1.9884E-11;1.4750E+03;1.0430E+03;3.2486E-05;
2020-03-02 16:59:06;250.0692;8.8667E-03;1.9884E-11;1.4795E+03;1.0462E+03;3.2485E-05;
2020-03-02 16:59:07;250.0692;8.8687E-03;1.9884E-11;1.4803E+03;1.0467E+03;3.2486E-05;
2020-03-02 16:59:15;250.2225;8.8772E-03;1.9883E-11;1.4698E+03;1.0393E+03;3.2501E-05;
2020-03-02 16:59:16;250.2225;8.8697E-03;1.9883E-11;1.4746E+03;1.0427E+03;3.2489E-05;
2020-03-02 16:59:25;250.2660;8.8468E-03;1.9884E-11;1.4779E+03;1.0451E+03;3.2508E-05;
2020-03-02 16:59:26;250.2660;8.8606E-03;1.9883E-11;1.4691E+03;1.0388E+03;3.2492E-05;
2020-03-02 16:59:27;250.2660;8.8630E-03;1.9883E-11;1.4782E+03;1.0453E+03;3.2490E-05;
2020-03-02 16:59:36;250.2097;8.8451E-03;1.9883E-11;1.4789E+03;1.0458E+03;3.2496E-05;
2020-03-02 16:59:37;250.2097;8.8573E-03;1.9883E-11;1.4775E+03;1.0447E+03;3.2500E-05;
2020-03-02 16:59:38;250.2097;8.8593E-03;1.9883E-11;1.4749E+03;1.0429E+03;3.2501E-05;
2020-03-02 16:59:47;250.1287;8.8574E-03;1.9883E-11;1.4805E+03;1.0468E+03;3.2500E-05;
2020-03-02 16:59:48;250.1287;8.8606E-03;1.9883E-11;1.4785E+03;1.0454E+03;3.2494E-05;
2020-03-02 16:59:49;250.1287;8.8634E-03;1.9883E-11;1.4615E+03;1.0334E+03;3.2491E-05;
2020-03-02 17:00:15;349.8992;8.5285E-03;1.9855E-11;1.5035E+03;1.0632E+03;4.6452E-05;
2020-03-02 17:00:16;349.8992;8.5402E-03;1.9855E-11;1.5102E+03;1.0678E+03;4.6457E-05;
2020-03-02 17:00:17;349.8992;8.5418E-03;1.9855E-11;1.5043E+03;1.0637E+03;4.6458E-05;
2020-03-02 17:00:18;349.8992;8.5419E-03;1.9855E-11;1.5131E+03;1.0699E+03;4.6452E-05;
2020-03-02 17:00:19;349.8992;8.5375E-03;1.9855E-11;1.5103E+03;1.0679E+03;4.6450E-05;
2020-03-02 17:00:20;349.8992;8.5349E-03;1.9855E-11;1.4934E+03;1.0560E+03;4.6450E-05;
2020-03-02 17:00:22;349.8992;8.5362E-03;1.9855E-11;1.5133E+03;1.0700E+03;4.6450E-05;
2020-03-02 17:00:23;349.8992;8.5367E-03;1.9855E-11;1.5119E+03;1.0690E+03;4.6449E-05;
2020-03-02 17:00:24;349.8992;8.5383E-03;1.9855E-11;1.5134E+03;1.0701E+03;4.6447E-05;
2020-03-02 17:00:25;349.8992;8.5381E-03;1.9855E-11;1.5104E+03;1.0680E+03;4.6449E-05;
2020-03-02 17:00:26;349.8992;8.5369E-03;1.9855E-11;1.5016E+03;1.0618E+03;4.6447E-05;
2020-03-02 17:00:27;349.8992;8.5363E-03;1.9855E-11;1.5135E+03;1.0702E+03;4.6446E-05;
2020-03-02 17:00:29;349.8992;8.5370E-03;1.9855E-11;1.5058E+03;1.0647E+03;4.6449E-05;
2020-03-02 17:00:30;349.8992;8.5374E-03;1.9855E-11;1.5085E+03;1.0667E+03;4.6450E-05;
2020-03-02 17:00:31;349.8992;8.5373E-03;1.9855E-11;1.5035E+03;1.0631E+03;4.6448E-05;
2020-03-02 17:01:08;450.1380;8.2912E-03;1.9835E-11;1.5685E+03;1.1091E+03;6.1932E-05;
2020-03-02 17:01:09;450.1380;8.2701E-03;1.9834E-11;1.5556E+03;1.1000E+03;6.1917E-05;
2020-03-02 17:01:11;450.1380;8.2654E-03;1.9834E-11;1.5762E+03;1.1145E+03;6.1919E-05;
2020-03-02 17:01:12;450.1380;8.2660E-03;1.9834E-11;1.5770E+03;1.1151E+03;6.1924E-05;
2020-03-02 17:01:14;450.1380;8.2712E-03;1.9834E-11;1.5799E+03;1.1172E+03;6.1925E-05;
